지점날짜,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg),지점명,사고발생,사고위험
40020170101,3.5,-0.4,626.0,7.0,1532.0,0.0,3.3,611.0,1.3,73.1,400201701,2.0,1
40020170102,6.2,3.7,2351.0,9.4,1411.0,0.0,5.8,1614.0,1.6,196.9,400201701,2.0,1
40020170103,4.0,1.1,538.0,7.2,1325.0,0.0,5.6,1440.0,1.7,227.8,400201701,0.0,0
40020170104,5.4,2.5,822.0,9.3,1522.0,0.0,6.5,1450.0,1.4,315.0,400201701,0.0,0
40020170105,5.0,1.6,340.0,7.8,1509.0,0.0,6.5,1200.0,1.8,67.5,400201701,0.0,0
40020170106,6.7,4.1,805.0,10.5,1442.0,0.0,4.5,1838.0,1.4,286.9,400201701,1.0,0
40020170107,5.7,1.4,735.0,10.1,1534.0,0.0,3.3,1150.0,1.1,50.6,400201701,0.0,0
40020170108,7.7,5.1,528.0,11.6,1431.0,0.0,6.5,2052.0,1.7,225.0,400201701,0.0,0
40020170109,3.0,-0.8,2341.0,5.4,1.0,0.0,7.2,1546.0,2.4,272.8,400201701,1.0,0
40020170110,-1.7,-5.5,2343.0,2.0,1418.0,0.0,7.9,1338.0,2.4,261.6,400201701,3.0,1
40020170111,-2.1,-5.9,646.0,1.6,1449.0,0.0,6.9,1501.0,1.8,309.4,400201701,1.0,0
40020170112,-0.8,-4.2,2341.0,2.4,1509.0,0.0,13.7,1423.0,2.0,236.3,400201701,2.0,1
40020170113,-4.5,-6.8,2321.0,-1.0,1553.0,0.0,10.5,1942.0,2.1,292.5,400201701,0.0,0
40020170114,-6.9,-9.1,853.0,-4.5,1506.0,0.0,9.6,1616.0,2.7,275.6,400201701,1.0,0
40020170115,-4.9,-8.5,746.0,-1.1,1540.0,0.0,6.0,1322.0,1.7,239.1,400201701,1.0,0
40020170116,-2.3,-7.2,830.0,2.7,1549.0,0.0,3.9,1851.0,1.2,272.8,400201701,2.0,1
40020170117,-0.7,-5.5,712.0,3.8,1536.0,0.0,3.7,1315.0,1.3,275.6,400201701,0.0,0
40020170118,1.0,-1.4,853.0,3.3,1547.0,0.0,5.4,1442.0,1.0,42.2,400201701,1.0,0
40020170119,0.4,-2.9,721.0,4.6,1610.0,0.0,6.8,1719.0,1.3,267.2,400201701,1.0,0
40020170120,-3.1,-5.5,2334.0,0.5,53.0,2.5,8.2,1508.0,2.3,281.3,400201701,1.0,0
40020170121,-3.9,-8.2,615.0,-0.4,2318.0,1.0,8.0,2358.0,1.3,284.1,400201701,4.0,1
40020170122,-6.9,-8.8,2312.0,-2.0,40.0,0.5,8.9,1825.0,2.7,317.8,400201701,1.0,0
40020170123,-7.2,-10.1,715.0,-4.0,1607.0,0.0,6.5,1316.0,2.1,241.9,400201701,0.0,0
40020170124,-5.3,-9.5,713.0,-1.6,1535.0,0.0,5.8,1415.0,1.7,295.3,400201701,1.0,0
40020170125,-3.4,-8.5,657.0,0.6,1557.0,0.0,5.4,1433.0,1.5,241.9,400201701,2.0,1
40020170126,-0.5,-7.0,654.0,4.1,2340.0,0.0,8.8,2358.0,1.7,227.8,400201701,3.0,1
40020170127,-1.3,-3.5,857.0,4.6,112.0,4.0,9.4,119.0,2.6,272.8,400201701,1.0,0
40020170128,-0.8,-6.4,738.0,4.1,1631.0,0.0,4.1,43.0,1.2,292.5,400201701,2.0,1
40020170129,1.3,0.2,2338.0,3.1,1040.0,5.5,5.0,2337.0,1.1,292.5,400201701,1.0,0
40020170130,-3.5,-5.5,907.0,0.2,1.0,0.0,8.2,846.0,2.4,275.6,400201701,1.0,0
40020170131,-3.8,-8.0,625.0,-0.1,1346.0,0.0,5.3,1435.0,1.6,247.5,400201701,2.0,1
40020170201,-2.5,-5.6,2358.0,1.0,1322.0,0.0,7.9,1247.0,2.1,272.8,400201702,1.0,0
40020170202,-1.3,-6.5,541.0,3.2,1559.0,0.0,7.9,1416.0,2.1,250.3,400201702,1.0,0
40020170203,2.9,-0.4,807.0,6.5,1446.0,0.0,5.1,1510.0,1.4,272.8,400201702,1.0,0
40020170204,1.8,-1.4,611.0,3.8,1835.0,0.0,4.0,1032.0,1.2,59.1,400201702,2.0,1
40020170205,2.4,0.7,2333.0,3.4,537.0,0.5,6.9,1711.0,1.6,253.1,400201702,1.0,0
40020170206,-0.4,-2.7,836.0,2.7,1633.0,0.0,7.7,147.0,2.4,286.9,400201702,0.0,0
40020170207,-0.4,-3.3,859.0,3.1,1617.0,0.0,4.5,1955.0,1.3,306.6,400201702,1.0,0
40020170208,-0.3,-2.4,707.0,2.0,1341.0,0.0,5.9,2125.0,1.5,289.7,400201702,2.0,1
40020170209,-3.9,-5.3,812.0,-1.4,1333.0,0.0,9.0,1252.0,2.8,292.5,400201702,1.0,0
40020170210,-5.2,-7.8,809.0,-1.8,1501.0,0.0,9.1,900.0,3.0,275.6,400201702,2.0,1
40020170211,-3.3,-6.9,639.0,0.2,1500.0,0.0,7.9,1357.0,2.3,281.3,400201702,0.0,0
40020170212,-0.6,-4.5,829.0,4.0,1553.0,0.0,6.5,1441.0,1.7,348.8,400201702,1.0,0
40020170213,1.0,-3.9,717.0,5.3,1613.0,0.0,5.1,1427.0,1.3,210.9,400201702,1.0,0
40020170214,2.0,-1.0,635.0,6.1,1551.0,0.0,6.0,1947.0,1.8,278.4,400201702,1.0,0
40020170215,3.3,-2.1,700.0,8.6,1546.0,0.0,4.3,1433.0,1.0,180.0,400201702,1.0,0
40020170216,6.9,-0.1,734.0,11.4,2013.0,0.0,7.9,2239.0,1.5,253.1,400201702,2.0,1
40020170217,2.0,-3.4,2346.0,10.3,1.0,4.0,13.8,1543.0,2.9,255.9,400201702,3.0,1
40020170218,-0.9,-5.0,745.0,3.3,1534.0,0.0,9.3,1439.0,2.3,272.8,400201702,2.0,1
40020170219,3.4,-1.2,536.0,7.0,1831.0,1.5,6.9,1022.0,1.3,205.3,400201702,0.0,0
40020170220,-0.2,-3.1,2330.0,6.3,146.0,0.5,9.4,1052.0,2.7,270.0,400201702,1.0,0
40020170221,0.8,-4.8,523.0,6.4,1636.0,0.0,5.1,13.0,1.3,64.7,400201702,0.0,0
40020170222,2.3,0.4,0.0,4.2,841.0,6.0,6.4,2340.0,1.6,270.0,400201702,0.0,0
40020170223,-0.2,-2.4,2357.0,2.7,1530.0,0.0,9.5,1513.0,2.7,292.5,400201702,1.0,0
40020170224,0.7,-3.2,735.0,4.1,1435.0,0.0,7.8,1537.0,2.0,326.3,400201702,1.0,0
40020170225,4.0,-0.4,722.0,8.0,1509.0,0.0,9.1,1700.0,2.0,281.3,400201702,2.0,1
40020170226,4.8,0.7,750.0,9.9,1520.0,0.0,6.4,1644.0,1.5,340.3,400201702,1.0,0
40020170227,5.2,0.2,652.0,9.8,1525.0,0.0,5.8,1557.0,1.5,270.0,400201702,1.0,0
40020170228,6.6,0.3,712.0,12.1,1409.0,0.0,5.8,1832.0,1.4,233.4,400201702,4.0,1
40020170301,5.9,2.7,2123.0,11.4,1306.0,7.0,7.1,1709.0,1.2,270.0,400201703,0.0,0
40020170302,3.0,0.8,748.0,6.5,1509.0,0.5,7.1,1833.0,2.4,261.6,400201703,0.0,0
40020170303,4.8,-0.4,433.0,9.9,1514.0,0.0,7.7,1322.0,1.7,196.9,400201703,2.0,1
40020170304,6.3,1.2,636.0,11.5,1446.0,0.0,5.1,1507.0,1.3,275.6,400201703,1.0,0
40020170305,6.0,2.6,747.0,10.6,1507.0,1.0,6.0,1610.0,1.5,303.8,400201703,0.0,0
40020170306,1.3,-1.0,717.0,5.1,3.0,0.0,10.0,1423.0,2.9,264.4,400201703,0.0,0
